,Code,Exchange,Name,Sector,Industry,Country,Region,Assets_%
SPT.US,SPT,US,Sprout Social Inc,Technology,Software - Application,United States,North America,0.01
CRNC.US,CRNC,US,Cerence Inc,Technology,Software - Application,United States,North America,0.01
MITK.US,MITK,US,Mitek Systems Inc,Technology,Software - Application,United States,North America,0.01
NABL.US,NABL,US,N-Able Inc,Technology,Information Technology Services,United States,North America,0.01
HCKT.US,HCKT,US,The Hackett Group Inc,Technology,Information Technology Services,United States,North America,0.01
OSPN.US,OSPN,US,OneSpan Inc,Technology,Software - Infrastructure,United States,North America,0.01
LWLG.US,LWLG,US,Lightwave Logic Inc,Basic Materials,Specialty Chemicals,United States,North America,0.01
CCSI.US,CCSI,US,Consensus Cloud Solutions Inc,Technology,Software - Infrastructure,United States,North America,0.01
WEAV.US,WEAV,US,Weave Communications Inc,Healthcare,Health Information Services,United States,North America,0.01
KODK.US,KODK,US,Eastman Kodak Co,Industrials,Specialty Business Services,United States,North America,0.01
CLFD.US,CLFD,US,Clearfield Inc,Technology,Communication Equipment,United States,North America,0.01
NVEC.US,NVEC,US,NVE Corporation,Technology,Semiconductors,United States,North America,0.01
BELFA.US,BELFA,US,Bel Fuse A Inc,Technology,Electronic Components,United States,North America,0.01
MEI.US,MEI,US,Methode Electronics Inc,Technology,Electronic Components,United States,North America,0.01
FWAA.US,FWAA,US,Fifth Wall Acquisition Corp. I,"Electronic Equipment, Instruments & Components",Information Technology,United States,North America,0.01
XRX.US,XRX,US,Xerox Corp,Industrials,Business Equipment & Supplies,United States,North America,0.0
RBBN.US,RBBN,US,Ribbon Communications Inc,Technology,Software - Application,United States,North America,0.0
CRSR.US,CRSR,US,Corsair Gaming Inc,Technology,Computer Hardware,United States,North America,0.0
XPER.US,XPER,US,Xperi Corp,Technology,Software - Application,United States,North America,0.0
BIGC.US,BIGC,US,Bigcommerce Holdings Inc,Technology,Software - Application,United States,North America,0.0
EGHT.US,EGHT,US,8x8 Inc Common Stock,Technology,Software - Application,United States,North America,0.0
MVIS.US,MVIS,US,Microvision Inc,Technology,Scientific & Technical Instruments,United States,North America,0.0
DOMO.US,DOMO,US,Domo Inc,Technology,Software - Application,United States,North America,0.0
UIS.US,UIS,US,Unisys Corporation,Technology,Information Technology Services,United States,North America,0.0
RMNI.US,RMNI,US,Rimini Street Inc,Technology,Software - Application,United States,North America,0.0
LAW.US,LAW,US,CS Disco LLC,Technology,Software - Application,United States,North America,0.0
EXFY.US,EXFY,US,Expensify Inc,Technology,Software - Application,United States,North America,0.0
PMTS.TO,PMTS,TO,CPI Card Group Inc,Financial Services,Credit Services,Canada,North America,0.0
DMRC.US,DMRC,US,Digimarc Corporation,Technology,Software - Application,United States,North America,0.0
RXT_old.US,RXT_old,US,Rackspace Technology Inc,Technology, Software - Infrastructure,United States,North America,0.0
EXOD.US,EXOD,US,"Exodus Movement, Inc.",Technology,Software - Infrastructure,United States,North America,0.0
ONDS_old.US,ONDS_old,US,Ondas Holdings Inc,Information Technology,Communications Equipment,United States,North America,0.0
SKYT.US,SKYT,US,Skywater Technology Inc,Technology,Semiconductors,United States,North America,0.0
IREN.US,IREN,US,IREN Ltd,Financial Services,Capital Markets,United States,North America,0.0
CRWV.US,CRWV,US,"CoreWeave, Inc. Class A Common Stock",Technology,Software - Infrastructure,United States,North America,0.0
KOPN.US,KOPN,US,Kopin Corporation,Technology,Electronic Components,United States,North America,0.0
TTAN.US,TTAN,US,"ServiceTitan, Inc. Class A Common Stock",Technology,Software - Application,United States,North America,0.0
DNJR.US,DNJR,US,Golden Bull Limited,Financial Services,Credit Services,United States,North America,0.0
VERI.US,VERI,US,Veritone Inc,Technology,Software - Infrastructure,United States,North America,0.0
BMNR.US,BMNR,US,"Bitmine Immersion Technologies, Inc.",Financial Services,Capital Markets,United States,North America,0.0
FIG.US,FIG,US,"Figma, Inc.",Technology,Software - Application,United States,North America,0.0
