,Code,Exchange,Name,Sector,Industry,Country,Region,Assets_%
SW.US,SW,US,Smurfit WestRock plc,Consumer Cyclical,Packaging & Containers,United States,North America,0.04
NVR.US,NVR,US,NVR Inc,Consumer Cyclical,Residential Construction,United States,North America,0.04
EQR.US,EQR,US,Equity Residential,Real Estate,REIT - Residential,United States,North America,0.04
EXPD.US,EXPD,US,"Expeditors International of Washington, Inc.",Industrials,Integrated Freight & Logistics,United States,North America,0.04
IP.US,IP,US,International Paper,Consumer Cyclical,Packaging & Containers,United States,North America,0.04
BRO.US,BRO,US,Brown & Brown Inc,Financial Services,Insurance Brokers,United States,North America,0.04
NI.US,NI,US,NiSource Inc,Utilities,Utilities - Regulated Gas,United States,North America,0.04
DGX.US,DGX,US,Quest Diagnostics Incorporated,Healthcare,Diagnostics & Research,United States,North America,0.04
WRB.US,WRB,US,W. R. Berkley Corp,Financial Services,Insurance - Property & Casualty,United States,North America,0.03
VRSN.US,VRSN,US,VeriSign Inc,Technology,Software - Infrastructure,United States,North America,0.03
KHC.US,KHC,US,Kraft Heinz Co,Consumer Defensive,Packaged Foods,United States,North America,0.03
CNC.US,CNC,US,Centene Corp,Healthcare,Healthcare Plans,United States,North America,0.03
TPL.US,TPL,US,Texas Pacific Land Trust,Energy,Oil & Gas E&P,United States,North America,0.03
Q.US,Q,US,"Qnity Electronics, Inc",Technology,Semiconductor Equipment & Materials,United States,North America,0.03
ALB.US,ALB,US,Albemarle Corp,Basic Materials,Specialty Chemicals,United States,North America,0.03
KEY.US,KEY,US,KeyCorp,Financial Services,Banks - Regional,United States,North America,0.03
PKG.US,PKG,US,Packaging Corp of America,Consumer Cyclical,Packaging & Containers,United States,North America,0.03
SBAC.US,SBAC,US,SBA Communications Corp,Real Estate,REIT - Specialty,United States,North America,0.03
DOW.US,DOW,US,Dow Inc,Basic Materials,Chemicals,United States,North America,0.03
GPC.US,GPC,US,Genuine Parts Co,Consumer Cyclical,Auto Parts,United States,North America,0.03
SNA.US,SNA,US,Snap-On Inc,Industrials,Tools & Accessories,United States,North America,0.03
PFG.US,PFG,US,Principal Financial Group Inc,Financial Services,Asset Management,United States,North America,0.03
LULU.US,LULU,US,Lululemon Athletica Inc.,Consumer Cyclical,Apparel Retail,United States,North America,0.03
NTAP.US,NTAP,US,NetApp Inc,Technology,Software - Infrastructure,United States,North America,0.03
PTC.US,PTC,US,PTC Inc,Technology,Software - Application,United States,North America,0.03
ROL.US,ROL,US,Rollins Inc,Consumer Cyclical,Personal Services,United States,North America,0.03
WY.US,WY,US,Weyerhaeuser Company,Real Estate,REIT - Specialty,United States,North America,0.03
TSN.US,TSN,US,Tyson Foods Inc,Consumer Defensive,Farm Products,United States,North America,0.03
DD.US,DD,US,Dupont De Nemours Inc,Basic Materials,Specialty Chemicals,United States,North America,0.03
HPQ.US,HPQ,US,HP Inc,Technology,Computer Hardware,United States,North America,0.03
CHTR.US,CHTR,US,Charter Communications Inc,Communication Services,Telecom Services,United States,North America,0.03
PODD.US,PODD,US,Insulet Corporation,Healthcare,Medical Devices,United States,North America,0.03
L.US,L,US,Loews Corp,Financial Services,Insurance - Property & Casualty,United States,North America,0.03
IFF.US,IFF,US,International Flavors & Fragrances Inc,Basic Materials,Specialty Chemicals,United States,North America,0.03
EVRG.US,EVRG,US,"Evergy, Inc.",Utilities,Utilities - Regulated Electric,United States,North America,0.03
DECK.US,DECK,US,Deckers Outdoor Corporation,Consumer Cyclical,Footwear & Accessories,United States,North America,0.03
ZBH.US,ZBH,US,Zimmer Biomet Holdings Inc,Healthcare,Medical Devices,United States,North America,0.03
PNR.US,PNR,US,Pentair PLC,Industrials,Specialty Industrial Machinery,United States,North America,0.03
LNT.US,LNT,US,Alliant Energy Corp,Utilities,Utilities - Regulated Electric,United States,North America,0.03
FTV.US,FTV,US,Fortive Corp,Technology,Scientific & Technical Instruments,United States,North America,0.03
GPN.US,GPN,US,Global Payments Inc,Industrials,Specialty Business Services,United States,North America,0.03
HOLX.US,HOLX,US,Hologic Inc,Healthcare,Medical Instruments & Supplies,United States,North America,0.03
WST.US,WST,US,West Pharmaceutical Services Inc,Healthcare,Medical Instruments & Supplies,United States,North America,0.03
HII.US,HII,US,Huntington Ingalls Industries Inc,Industrials,Aerospace & Defense,United States,North America,0.03
INCY.US,INCY,US,Incyte Corporation,Healthcare,Biotechnology,United States,North America,0.03
CDW.US,CDW,US,CDW Corp,Technology,Information Technology Services,United States,North America,0.03
APTV.US,APTV,US,Aptiv PLC,Consumer Cyclical,Auto Parts,United States,North America,0.03
ESS.US,ESS,US,Essex Property Trust Inc,Real Estate,REIT - Residential,United States,North America,0.03
COO.US,COO,US,"The Cooper Companies, Inc",Healthcare,Medical Instruments & Supplies,United States,North America,0.03
J.US,J,US,Jacobs Solutions Inc.,Industrials,Engineering & Construction,United States,North America,0.03
TRMB.US,TRMB,US,Trimble Inc,Technology,Scientific & Technical Instruments,United States,North America,0.03
LVS.US,LVS,US,Las Vegas Sands Corp,Consumer Cyclical,Resorts & Casinos,United States,North America,0.03
TYL.US,TYL,US,Tyler Technologies Inc,Technology,Software - Application,United States,North America,0.03
FFIV.US,FFIV,US,F5 Networks Inc,Technology,Software - Infrastructure,United States,North America,0.03
LII.US,LII,US,Lennox International Inc,Industrials,Building Products & Equipment,United States,North America,0.03
MAA.US,MAA,US,Mid-America Apartment Communities Inc,Real Estate,REIT - Residential,United States,North America,0.03
MKC.US,MKC,US,McCormick & Company Incorporated,Consumer Defensive,Packaged Foods,United States,North America,0.03
TXT.US,TXT,US,Textron Inc,Industrials,Aerospace & Defense,United States,North America,0.03
BG.US,BG,US,Bunge Limited,Consumer Defensive,Farm Products,United States,North America,0.03
MRNA.US,MRNA,US,Moderna Inc,Healthcare,Biotechnology,United States,North America,0.03
JBHT.US,JBHT,US,JB Hunt Transport Services Inc,Industrials,Integrated Freight & Logistics,United States,North America,0.03
BALL.US,BALL,US,Ball Corporation,Consumer Cyclical,Packaging & Containers,United States,North America,0.03
FOXA.US,FOXA,US,Fox Corp Class A,Communication Services,Entertainment,United States,North America,0.03
IT.US,IT,US,Gartner Inc,Technology,Information Technology Services,United States,North America,0.03
INVH.US,INVH,US,Invitation Homes Inc,Real Estate,REIT - Residential,United States,North America,0.03
VTRS.US,VTRS,US,Viatris Inc,Healthcare,Drug Manufacturers - Specialty & Generic,United States,North America,0.03
IEX.US,IEX,US,IDEX Corporation,Industrials,Specialty Industrial Machinery,United States,North America,0.03
NDSN.US,NDSN,US,Nordson Corporation,Industrials,Specialty Industrial Machinery,United States,North America,0.02
SMCI.US,SMCI,US,Super Micro Computer Inc,Technology,Computer Hardware,United States,North America,0.02
CF.US,CF,US,CF Industries Holdings Inc,Basic Materials,Agricultural Inputs,United States,North America,0.02
AVY.US,AVY,US,Avery Dennison Corp,Consumer Cyclical,Packaging & Containers,United States,North America,0.02
KIM.US,KIM,US,Kimco Realty Corporation,Real Estate,REIT - Retail,United States,North America,0.02
ALLE.US,ALLE,US,Allegion PLC,Industrials,Security & Protection Services,United States,North America,0.02
AKAM.US,AKAM,US,Akamai Technologies Inc,Technology,Software - Infrastructure,United States,North America,0.02
EG.US,EG,US,Everest Group Ltd,Financial Services,Insurance - Reinsurance,United States,North America,0.02
CLX.US,CLX,US,The Clorox Company,Consumer Defensive,Household & Personal Products,United States,North America,0.02
MAS.US,MAS,US,Masco Corporation,Industrials,Building Products & Equipment,United States,North America,0.02
RL.US,RL,US,Ralph Lauren Corp Class A,Consumer Cyclical,Apparel Manufacturing,United States,North America,0.02
GDDY.US,GDDY,US,Godaddy Inc,Technology,Software - Infrastructure,United States,North America,0.02
GEN.US,GEN,US,Gen Digital Inc.,Technology,Software - Infrastructure,United States,North America,0.02
TKO.US,TKO,US,"TKO Group Holdings, Inc.",Communication Services,Entertainment,United States,North America,0.02
TTD.US,TTD,US,Trade Desk Inc,Communication Services,Advertising Agencies,United States,North America,0.02
JKHY.US,JKHY,US,Jack Henry & Associates Inc,Technology,Information Technology Services,United States,North America,0.02
DPZ.US,DPZ,US,Domino's Pizza Inc Common Stock,Consumer Cyclical,Restaurants,United States,North America,0.02
BBY.US,BBY,US,Best Buy Co. Inc,Consumer Cyclical,Specialty Retail,United States,North America,0.02
BLDR.US,BLDR,US,Builders FirstSource Inc,Industrials,Building Products & Equipment,United States,North America,0.02
LYB.US,LYB,US,LyondellBasell Industries NV,Basic Materials,Specialty Chemicals,United States,North America,0.02
RVTY.US,RVTY,US,Revvity Inc.,Healthcare,Diagnostics & Research,United States,North America,0.02
SWK.US,SWK,US,Stanley Black & Decker Inc,Industrials,Tools & Accessories,United States,North America,0.02
IVZ.US,IVZ,US,Invesco Plc,Financial Services,Asset Management,United States,North America,0.02
REG.US,REG,US,Regency Centers Corporation,Real Estate,REIT - Retail,United States,North America,0.02
DOC.US,DOC,US,Healthpeak Properties Inc,Real Estate,REIT - Healthcare Facilities,United States,North America,0.02
AIZ.US,AIZ,US,Assurant Inc,Financial Services,Insurance - Property & Casualty,United States,North America,0.02
ZBRA.US,ZBRA,US,Zebra Technologies Corporation,Technology,Communication Equipment,United States,North America,0.02
HAS.US,HAS,US,Hasbro Inc,Consumer Cyclical,Leisure,United States,North America,0.02
HST.US,HST,US,Host Hotels & Resorts Inc,Real Estate,REIT - Hotel & Motel,United States,North America,0.02
CPT.US,CPT,US,Camden Property Trust,Real Estate,REIT - Residential,United States,North America,0.02
EPAM.US,EPAM,US,EPAM Systems Inc,Technology,Information Technology Services,United States,North America,0.02
SOLV.US,SOLV,US,Solventum Corp.,Healthcare,Medical Instruments & Supplies,United States,North America,0.02
PNW.US,PNW,US,Pinnacle West Capital Corp,Utilities,Utilities - Regulated Electric,United States,North America,0.02
SJM.US,SJM,US,The J. M. Smucker Company,Consumer Defensive,Packaged Foods,United States,North America,0.02
UDR.US,UDR,US,UDR Inc,Real Estate,REIT - Residential,United States,North America,0.02
GL.US,GL,US,Globe Life Inc,Financial Services,Insurance - Life,United States,North America,0.02
UHS.US,UHS,US,Universal Health Services Inc,Healthcare,Medical Care Facilities,United States,North America,0.02
DAY.US,DAY,US,Dayforce Inc.,Technology,Software - Application,United States,North America,0.02
ALGN.US,ALGN,US,Align Technology Inc,Healthcare,Medical Instruments & Supplies,United States,North America,0.02
AES.US,AES,US,The AES Corporation,Utilities,Utilities - Diversified,United States,North America,0.02
CRL.US,CRL,US,Charles River Laboratories,Healthcare,Diagnostics & Research,United States,North America,0.02
BAX.US,BAX,US,Baxter International Inc,Healthcare,Medical Instruments & Supplies,United States,North America,0.02
NWSA.US,NWSA,US,News Corp A,Communication Services,Entertainment,United States,North America,0.02
NCLH.US,NCLH,US,Norwegian Cruise Line Holdings Ltd,Consumer Cyclical,Travel Services,United States,North America,0.02
TECH.US,TECH,US,Bio-Techne Corp,Healthcare,Biotechnology,United States,North America,0.02
GNRC.US,GNRC,US,Generac Holdings Inc,Industrials,Specialty Industrial Machinery,United States,North America,0.02
FOX.US,FOX,US,Fox Corp Class B,Communication Services,Entertainment,United States,North America,0.02
BXP.US,BXP,US,Boston Properties Inc,Real Estate,REIT - Office,United States,North America,0.02
FDS.US,FDS,US,FactSet Research Systems Inc,Financial Services,Financial Data & Stock Exchanges,United States,North America,0.02
APA.US,APA,US,APA Corporation,Energy,Oil & Gas E&P,United States,North America,0.02
MOH.US,MOH,US,Molina Healthcare Inc,Healthcare,Healthcare Plans,United States,North America,0.02
WYNN.US,WYNN,US,Wynn Resorts Limited,Consumer Cyclical,Resorts & Casinos,United States,North America,0.02
CAG.US,CAG,US,ConAgra Foods Inc,Consumer Defensive,Packaged Foods,United States,North America,0.01
MOS.US,MOS,US,The Mosaic Company,Basic Materials,Agricultural Inputs,United States,North America,0.01
ARE.US,ARE,US,Alexandria Real Estate Equities Inc,Real Estate,REIT - Office,United States,North America,0.01
POOL.US,POOL,US,Pool Corporation,Industrials,Industrial Distribution,United States,North America,0.01
AOS.US,AOS,US,Smith AO Corporation,Industrials,Specialty Industrial Machinery,United States,North America,0.01
SWKS.US,SWKS,US,Skyworks Solutions Inc,Technology,Semiconductors,United States,North America,0.01
BEN.US,BEN,US,Franklin Resources Inc,Financial Services,Asset Management,United States,North America,0.01
TAP.US,TAP,US,Molson Coors Brewing Co Class B,Consumer Defensive,Beverages - Brewers,United States,North America,0.01
FRT.US,FRT,US,Federal Realty Investment Trust,Real Estate,REIT - Retail,United States,North America,0.01
HSIC.US,HSIC,US,Henry Schein Inc,Healthcare,Medical Distribution,United States,North America,0.01
MTCH.US,MTCH,US,Match Group Inc,Communication Services,Internet Content & Information,United States,North America,0.01
ERIE.US,ERIE,US,Erie Indemnity Company,Financial Services,Insurance Brokers,United States,North America,0.01
HRL.US,HRL,US,Hormel Foods Corporation,Consumer Defensive,Packaged Foods,United States,North America,0.01
MGM.US,MGM,US,MGM Resorts International,Consumer Cyclical,Resorts & Casinos,United States,North America,0.01
PAYC.US,PAYC,US,"Paycom Software, Inc.",Technology,Software - Application,United States,North America,0.01
LW.US,LW,US,Lamb Weston Holdings Inc,Consumer Defensive,Packaged Foods,United States,North America,0.01
CPB.US,CPB,US,Campbell’s Co,Consumer Defensive,Packaged Foods,United States,North America,0.01
BF-B.US,BF-B,US,Brown-Forman Corporation,Consumer Defensive,Beverages - Wineries & Distilleries,United States,North America,0.01
DVA.US,DVA,US,DaVita HealthCare Partners Inc,Healthcare,Medical Care Facilities,United States,North America,0.01
NWS.US,NWS,US,News Corp B,Communication Services,Entertainment,United States,North America,0.01
PSKY.US,PSKY,US,Paramount Skydance Corporation Class B Common Stock,Communication Services,Entertainment,United States,North America,0.01
