dollar_ret_1p,dollar_ret_6p,dollar_ret_13p,dollar_ret_26p,avg_eps_1q,avg_eps_2q,avg_eps_4q,avg_eps_8q
0.19654231105174105,0.2262592749126808,0.1798561000135212,0.09768465932730801,0.07161731685066652,0.014677437992387798,0.06860155487665688,0.20267778622419605
0.5443236543787887,0.4211968442170658,0.1919872930640657,0.03712063162748961,0.009555978005669135,0.0024278735050485313,0.01744002779888783,0.12170101207968506
0.4676936307335272,0.4230631202169507,0.23995769475404202,0.06963036365304436,0.027047533911690177,0.006315336496363467,0.03831364120583738,0.19070938912563012
0.4716893957404566,0.4245331132086522,0.23909887163300633,0.06847815428106573,0.02624918513133111,0.006145656627612988,0.03748802072739734,0.1886451890037538
0.30619014854650295,0.3217046006830084,0.22501841886602342,0.09636962073736405,0.055536518641294254,0.011958491207542804,0.061700850427530846,0.22213932901546898
0.008929803815461967,0.015672440944261682,0.022483171404653644,0.03655393912129719,0.08140341797498132,0.013280384310888212,0.03933380282568839,0.04666392938333397
0.002350412185173119,0.0048625011143421555,0.008781525901602536,0.021894805640327974,0.0751998526663584,0.011224134119293665,0.027825556043853374,0.02312760401752389
0.002123304140367983,0.004447779258296827,0.008174006271713795,0.021051640479620336,0.07471868424719695,0.011077349986182396,0.027093710712259435,0.021919896356220745
0.011851956447257159,0.02008224247082247,0.027425309982202314,0.04069297946228805,0.08260198154346768,0.013734710684554504,0.04225682899579198,0.05409491758017618
0.01709497055498524,0.0276698381141825,0.03544120661007931,0.04668510154136276,0.08399678631365395,0.014316836766529284,0.04628445644444702,0.06542084353106171
0.01076578066385451,0.018461246277477493,0.025637225008827248,0.03924113989762243,0.08220440018777664,0.013580476340264784,0.04124527168588523,0.0514514101795519
0.07592518348865337,0.10118905021946954,0.09873896533449882,0.07847708120669486,0.08462324004157036,0.016022178676617142,0.06391528081391681,0.13755479870583137
0.13075009958569214,0.16100048350424076,0.14062894164062528,0.09098848479622276,0.07965277231867922,0.015740545036787443,0.06840325925931418,0.17470109872227524
0.3059141385404304,0.321485737970979,0.22493500816492656,0.09638933920161093,0.055580276349171905,0.011966480987643252,0.0617272956495616,0.22212816236733654
0.5004451511289988,0.17289572616675228,0.02548540001581146,0.0006054997835441456,1.862635149885918e-05,7.319891492509004e-06,0.00012579912773458496,0.005024911135283132
0.4868481339456072,0.14650986156186876,0.017800731965801262,0.0002953785102945209,6.315900489082589e-06,2.674495894002634e-06,5.3367214743101345e-05,0.0028737204865960796
0.5093019764876233,0.19218531497138908,0.032053192271582945,0.0009578956424524947,3.717774942174379e-05,1.3929449403849227e-05,0.00021759802400875912,0.0071812777495951705
0.5062424547723954,0.18532061661060573,0.029622608187766644,0.0008180937485567337,2.9311935641388163e-05,1.1164115851666185e-05,0.00018022012867119404,0.006351349329890703
0.5180522504595881,0.21308882144139346,0.04009875849221307,0.0014994352733508234,7.30363303259658e-05,2.6117823969270598e-05,0.0003716656045868009,0.010178596930835743
0.5204730915301119,0.21923106859677421,0.04264967863808816,0.0016964303084501073,8.796864906249523e-05,3.1056004267766115e-05,0.0004307250961710229,0.011205059249860393
0.5319746999157842,0.25092814414750364,0.05719781579683734,0.0030535258771411922,0.00021335232370297197,7.084789396703746e-05,0.0008693714393817597,0.017703820556261598
0.541719330887625,0.28210359867917323,0.07385925993390995,0.005099932674249244,0.00046247214823501293,0.00014556908717564484,0.001604928164489909,0.026383551813769942
0.5578926474286017,0.3790348159939758,0.1440015845979575,0.01985233576203774,0.0036275764743821937,0.0009888455618809093,0.00817657719230599,0.07560708056758844
0.534007648181648,0.2570385922295093,0.06027508740765542,0.0033917232315920057,0.0002499660422690061,8.210217689274211e-05,0.0009856467120179877,0.01921141133084159
0.48267023453948676,0.13911997000910317,0.01591227705258023,0.00023602823128328966,4.504662347927733e-06,1.952551401101919e-06,4.082274725867792e-05,0.002413273346503903
0.49016225401234176,0.15260405488800338,0.01944424486555659,0.00035244354006680624,8.24165047692835e-06,3.4264225024521835e-06,6.59042837335909e-05,0.0032973411979463174
0.48690670089064136,0.14661575196508117,0.017828622132094213,0.0002963048770334985,6.3457684727863365e-06,2.6862684691548832e-06,5.356721732844276e-05,0.0028807343657100103
0.5267696913435205,0.23602753778238386,0.05006677835071374,0.0023385621051597596,0.00014270824815889536,4.8724771173394894e-05,0.000632077838105882,0.01438523154037232
0.5282454569935531,0.2401512512602875,0.0519878533723236,0.0025217372334000172,0.00015988844095079385,5.4163434569617484e-05,0.0006916776458462743,0.015254697907632474
0.516385862858007,0.2089550836420225,0.03843008041835945,0.001377164998130599,6.424938163088657e-05,2.317992590777914e-05,0.00033575115444255533,0.009526497104648425
0.5001829142986567,0.1723510851526616,0.025311715170712866,0.0005972736358670046,1.8246384286108114e-05,7.180781448208244e-06,0.00012376013678074593,0.0049716861750575825
0.5074963664185463,0.1881075915936584,0.03059689658492105,0.0008728075844953635,3.231532648093295e-05,1.2225398951169549e-05,0.00019471137053971575,0.006679633640789179
0.5393086615975026,0.2739000209527047,0.06923997763999336,0.004479498451385393,0.00038026539521548856,0.00012132638360285567,0.0013743945845867641,0.023852207746948045
0.5567407751595373,0.3535590995075256,0.12220892375897845,0.014135677268414594,0.0021620999316389155,0.0006112892868668556,0.005437610761043828,0.0581882857282227
0.5506256989883506,0.31714054008990394,0.0956122360299858,0.008579293864126905,0.0010145337104686362,0.00030239833940754726,0.0029896787880076426,0.03952023963064113
0.5476333811964618,0.3042572103460815,0.08721688006355953,0.0071262883065049245,0.0007664104475867409,0.00023293592189037147,0.002394450477632278,0.034217590550502434
0.5286049935341888,0.24116754240222285,0.05246743195229085,0.002568549193796763,0.0001643836162735414,5.5579606097555585e-05,0.000707047549850121,0.015474610221529666
0.5579504223722631,0.37627227082682024,0.14147502356370512,0.0191314229998666,0.003428181768433084,0.0009382497617504332,0.007820724640093596,0.0734867164374414
0.518918848857416,0.43270585398201444,0.21899376018787825,0.05142623314347278,0.016120507595506203,0.003933406491651514,0.026059636530297976,0.15469354236847785
